TrustCent	TrustProv	TrustLocal	V7B	Peking	year_88_89	year_87_90	year_86_91	year_85_92	year_84_93	year_84_94	Female	marriage	T	start_year	method	Age_Enter_college	V01a	V23	V4a	Education	CCP	GovtJob	Income2	X_c	X2	X3	DX	DX2	DX3	D	method.1	birth_date
6.0	4.0	2.0	3.0	0.0				1.0	1.0	1.0	0.0	1.0	1.0	1985.0	4.0	18.0833740234375	3.0	2.0	2.0	2.0	0.0	1.0	4.0	-3.00186717412248	9.01120653107409	-27.0504450848694	-3.00186717412248	9.01120653107409	-27.0504450848694	1.0	4.0	1967.00089374697
9.0	9.0	10.0	2.0	0.0		1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1987.0	4.0	20.3333740234375	2.0	2.0	1.0	1.0	0.0	1.0	3.0	-3.25186717412248	10.5746401181353	-34.3873250783229	-3.25186717412248	10.5746401181353	-34.3873250783229	1.0	4.0	1968.22079932364
10.0	9.0	5.0	5.0	0.0		1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1987.0	4.0	20.5	3.0	2.0	1.0	1.0	1.0	1.0	3.0	-3.41849315068498	11.6860954212801	-39.9488371558972	-3.41849315068498	11.6860954212801	-39.9488371558972	1.0	4.0	1967.97475351626
6.0	8.0	6.0	5.0	0.0			1.0	1.0	1.0	1.0	0.0	1.0	1.0	1986.0	4.0	19.5833740234375	3.0	2.0	2.0	2.0	0.0	0.0	5.0	-3.50186717412248	12.2630737051966	-42.9436552620724	-3.50186717412248	12.2630737051966	-42.9436552620724	1.0	4.0	1967.55654119654
4.0	3.0	1.0	5.0	1.0				1.0	1.0	1.0	1.0	1.0	1.0	1985.0	2.0		3.0	2.0	2.0	2.0	0.0	0.0	5.0								2.0	
3.0	1.0	0.0	4.0	1.0					1.0	1.0	0.0	1.0	1.0	1984.0	2.0	18.25	3.0	2.0	1.0	1.0	0.0	0.0	3.0	-4.16849315068498	17.3763351473076	-72.4331340455584	-4.16849315068498	17.3763351473076	-72.4331340455584	1.0	2.0	1967.06687915465
8.0	8.0	0.0	4.0	0.0			1.0	1.0	1.0	1.0	0.0	1.0	1.0	1986.0	4.0	20.1666259765625	1.0	2.0	2.0	2.0	0.0	0.0	4.0	-4.08511912724748	16.6881982838032	-68.1732780084631	-4.08511912724748	16.6881982838032	-68.1732780084631	1.0	4.0	1967.20535061462
9.0	8.0	7.0	4.0	0.0				1.0	1.0	1.0	0.0	1.0	1.0	1985.0	2.0	19.5	2.0	2.0	1.0	1.0	1.0	1.0	3.0	-4.41849315068498	19.5230817226501	-86.2626028717926	-4.41849315068498	19.5230817226501	-86.2626028717926	1.0	2.0	1966.06128908927
9.0	7.0	6.0	4.0	0.0			1.0	1.0	1.0	1.0	0.0	1.0	1.0	1986.0	4.0	20.5	2.0	2.0	1.0	1.0	0.0	1.0	3.0	-4.41849315068498	19.5230817226501	-86.2626028717926	-4.41849315068498	19.5230817226501	-86.2626028717926	1.0	4.0	1967.04683663044
7.0	7.0	7.0	5.0	0.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1986.0	2.0	20.6666259765625	1.0	2.0	1.0	1.0	0.0	0.0	4.0	-4.58511912724748	21.0233174110507	-96.3944147796036	-4.58511912724748	21.0233174110507	-96.3944147796036	1.0	2.0	1966.29983269935
10.0	7.0	5.0	4.0	0.0						1.0	1.0	1.0	0.0	1994.0	2.0	20.5833740234375	1.0	2.0	1.0	1.0	0.0	0.0	2.0	3.49813282587752	12.2369332674818	42.8064179510509	0.0	0.0	0.0	0.0	2.0	1974.77296812925
4.0	3.0	2.0	5.0	1.0			1.0	1.0	1.0	1.0	0.0	1.0	0.0	1991.0	2.0	15.9166259765625	1.0	2.0	3.0	3.0	0.0	0.0	9.0	5.16488087275252	26.6759944297248	137.778333391738	0.0	0.0	0.0	0.0	2.0	1975.15739685064
0.0	0.0	0.0	4.0	1.0				1.0	1.0	1.0	0.0	0.0	0.0	1992.0	2.0	17.0833740234375	3.0	1.0	3.0	3.0	0.0	0.0	5.0	4.99813282587752	24.9813317451144	124.860014229392	0.0	0.0	0.0	0.0	2.0	1974.80368027743
4.0	1.0	0.0	3.0	1.0						1.0	0.0	1.0	0.0	1994.0	2.0	19.6666259765625	3.0	2.0	3.0	3.0	0.0	1.0	3.0	4.41488087275252	19.491173120596	86.0512073976275	0.0	0.0	0.0	0.0	2.0	1975.40606733039
2.0	1.0	0.0	4.0	1.0				1.0	1.0	1.0	0.0	1.0	0.0	1992.0	2.0	17.6666259765625	3.0	2.0	2.0	2.0	1.0	0.0	9.0	4.41488087275252	19.491173120596	86.0512073976275	0.0	0.0	0.0	0.0	2.0	1975.45940387482
5.0	0.0	0.0	4.0	1.0				1.0	1.0	1.0	0.0	1.0	0.0	1992.0	2.0	17.6666259765625	3.0	2.0	3.0	3.0	0.0	1.0	3.0	4.41488087275252	19.491173120596	86.0512073976275	0.0	0.0	0.0	0.0	2.0	1974.95065138023
1.0	0.0	0.0	4.0	1.0				1.0	1.0	1.0	0.0	1.0	0.0	1992.0	2.0	18.25	3.0	2.0	3.0	3.0	0.0	0.0	6.0	3.83150684931502	14.6804447363479	56.2482245583076	0.0	0.0	0.0	0.0	2.0	1973.69357729424
6.0	6.0	4.0	5.0	1.0			1.0	1.0	1.0	1.0	1.0	1.0	0.0	1991.0	2.0	17.6666259765625	1.0	2.0	2.0	2.0	0.0	0.0	4.0	3.41488087275252	11.661411375091	39.8223306540969	0.0	0.0	0.0	0.0	2.0	1973.37512593204
9.0	7.0	5.0	4.0	0.0				1.0	1.0	1.0	1.0	1.0	0.0	1992.0	4.0	17.8333740234375	3.0	2.0	2.0	2.0	0.0	1.0	4.0	4.24813282587752	18.0466325062981	76.6644919465533	0.0	0.0	0.0	0.0	4.0	1975.91049233545
